time,volume
0,770759.1460694878
5,751502.9764656282
10,732229.0854269464
15,712974.4564845775
20,693716.2221586754
25,674452.3359847708
30,655191.9825657427
35,655191.9825657427
40,655191.9825657427
45,655191.9825657427
50,655191.9825657427
55,655191.9825657427
60,655191.9825657427
65,655191.9825657427
70,655191.9825657427
75,655191.9825657427
80,655191.9825657427
85,655191.9825657427
90,655191.9825657427
95,655191.9825657427
100,655191.9825657427
105,655191.9825657427
110,655191.9825657427
115,655191.9825657427
120,655191.9825657427
125,655191.9825657427
130,655191.9825657427
135,655191.9825657427
140,655191.9825657427
145,655191.9825657427
150,620032.0047536017
155,586435.5956422348
160,552833.2607253268
165,519261.5210115393
170,485651.57456763595
175,452069.60696291405
180,418466.40948383376
185,384869.42515134497
190,351286.9330300335
195,317689.2598549245
200,317689.2598549245
205,317689.2598549245
210,317689.2598549245
215,317689.2598549245
220,317689.2598549245
225,317689.2598549245
230,317689.2598549245
235,317689.2598549245
240,317689.2598549245
245,317689.2598549245
250,317689.2598549245
255,317689.2598549245
260,317689.2598549245
265,317689.2598549245
270,317689.2598549245
275,317689.2598549245
280,317689.2598549245
285,317689.2598549245
290,317689.2598549245
295,317689.2598549245
300,317689.2598549245
305,317689.2598549245
310,317689.2598549245
315,317689.2598549245
320,317689.2598549245
325,317689.2598549245
330,317689.2598549245
335,317689.2598549245
340,317689.2598549245
345,317689.2598549245
350,317689.2598549245
355,317689.2598549245
360,317689.2598549245
365,317689.2598549245
370,317689.2598549245
375,267758.8933678622
380,136186.9636949048
385,136186.9636949048
390,136186.9636949048
395,136186.9636949048
400,136186.9636949048
405,136186.9636949048
410,136186.9636949048
415,136186.9636949048
420,136186.9636949048
425,136186.9636949048
430,136186.9636949048
435,136186.9636949048
440,655665.1210371648
445,579724.8389307988
450,503774.5402090906
455,427827.58532326145
460,427827.58532326145
465,427827.58532326145
470,427827.58532326145
475,427827.58532326145
480,427827.58532326145
485,427827.58532326145
490,427827.58532326145
495,427827.58532326145
500,427827.58532326145
505,427827.58532326145
510,427827.58532326145
515,427827.58532326145
520,427827.58532326145
525,427827.58532326145
530,427827.58532326145
535,427827.58532326145
540,427827.58532326145
545,427827.58532326145
550,427827.58532326145
555,427827.58532326145
560,427827.58532326145
565,427827.58532326145
570,427827.58532326145
575,360158.6847249381
580,355955.06752395956
585,351757.48721954226
590,347554.9393406629
595,343355.708714199
600,339154.32583639305
605,334940.1867155642
610,330746.6011521423
615,326543.8540343587
620,322342.1367584675
625,322342.1367584675
630,322342.1367584675
635,322342.1367584675
640,322342.1367584675
645,322342.1367584675
650,322342.1367584675
655,322342.1367584675
660,322342.1367584675
665,322342.1367584675
670,322342.1367584675
675,322342.1367584675
680,702245.6736879927
685,679720.8688300708
690,657197.939249797
695,634681.255205728
700,612165.2026959116
705,589646.5960568179
710,567130.4238199543
715,544620.6040394568
720,522090.3375137849
725,499571.2089500533
730,499571.2089500533
735,499571.2089500533
740,499571.2089500533
745,499571.2089500533
750,499571.2089500533
755,499571.2089500533
760,499571.2089500533
765,499571.2089500533
770,499571.2089500533
775,499571.2089500533
780,499571.2089500533
785,499571.2089500533
790,499571.2089500533
795,499571.2089500533
800,499571.2089500533
805,499571.2089500533
810,499571.2089500533
815,499571.2089500533
820,499571.2089500533
825,499571.2089500533
830,499571.2089500533
835,499571.2089500533
840,499571.2089500533
845,499571.2089500533
850,499571.2089500533
855,499571.2089500533
860,499571.2089500533
865,499571.2089500533
870,499571.2089500533
875,499571.2089500533
880,499571.2089500533
885,499571.2089500533
890,499571.2089500533
895,499571.2089500533
900,499571.2089500533
905,499571.2089500533
910,499571.2089500533
915,499571.2089500533
920,499571.2089500533
925,499571.2089500533
930,499571.2089500533
935,499571.2089500533
940,499571.2089500533
945,499571.2089500533
950,499571.2089500533
955,499571.2089500533
960,499571.2089500533
965,473152.24245413725
970,397102.22049586236
975,321076.00148564606
980,245022.4948643074
985,245022.4948643074
990,245022.4948643074
995,245022.4948643074
1000,245022.4948643074
1005,245022.4948643074
1010,245022.4948643074
1015,245022.4948643074
1020,245022.4948643074
1025,245022.4948643074
1030,245022.4948643074
1035,245022.4948643074
1040,245022.4948643074
1045,245022.4948643074
1050,245022.4948643074
1055,245022.4948643074
1060,245022.4948643074
1065,245022.4948643074
1070,245022.4948643074
1075,245022.4948643074
1080,245022.4948643074
1085,245022.4948643074
1090,245022.4948643074
1095,245022.4948643074
1100,225399.60458262032
1105,220398.25924686028
1110,215390.37402461885
1115,210387.20874447856
1120,205395.95218355168
1125,200389.72648014032
1130,195388.14558293528
1135,190390.6146603217
1140,185386.31272593504
1145,185386.31272593504
1150,185386.31272593504
1155,185386.31272593504
1160,185386.31272593504
1165,185386.31272593504
1170,185386.31272593504
1175,185386.31272593504
1180,185386.31272593504
1185,185386.31272593504
1190,185386.31272593504
1195,185386.31272593504
1200,185386.31272593504
1205,185386.31272593504
1210,185386.31272593504
1215,185386.31272593504
1220,185386.31272593504
1225,185386.31272593504
1230,185386.31272593504
1235,185386.31272593504
1240,185386.31272593504
1245,185386.31272593504
1250,185386.31272593504
1255,185386.31272593504
1260,185386.31272593504
1265,185386.31272593504
1270,185386.31272593504
